date,season_year,team,opponent,goals_scored,goals_conceded,shots,shots_on_target,corners,fouls,yellow_cards,red_cards,points,home_away,goal_difference,shot_conversion_rate,efficiency_score
2009-05-16,2009,Newcastle,Fulham,0,1,12,6,6,7,0,1,0,Home,-1,0.0,1.0
2009-05-16,2009,Stoke,Wigan,2,0,13,8,6,8,0,0,3,Home,2,0.25,1.8461538461538463
2009-05-16,2009,Tottenham,Man City,2,1,11,4,4,5,0,0,3,Home,1,0.5,1.4545454545454546
2009-05-17,2009,Chelsea,Blackburn,2,0,21,12,1,6,1,0,3,Home,2,0.16666666666666666,1.5238095238095237
2009-05-17,2009,West Brom,Liverpool,0,2,12,7,11,13,2,0,0,Home,-2,0.0,1.1666666666666667
2009-05-18,2009,Portsmouth,Sunderland,3,1,9,4,5,11,1,0,3,Home,2,0.75,2.2222222222222223
2009-05-24,2009,Arsenal,Stoke,4,1,24,11,6,9,1,0,3,Home,3,0.36363636363636365,1.5833333333333333
2009-05-24,2009,Aston Villa,Newcastle,1,0,15,5,5,8,0,0,3,Home,1,0.2,0.9333333333333333
2009-05-24,2009,Blackburn,West Brom,0,0,10,5,4,14,0,1,1,Home,0,0.0,1.0
2009-05-24,2009,Fulham,Everton,0,2,10,4,2,15,0,0,0,Home,-2,0.0,0.8
2009-05-24,2009,Hull,Man United,0,1,12,8,8,17,2,0,0,Home,-1,0.0,1.3333333333333333
2009-05-24,2009,Liverpool,Tottenham,3,1,20,9,9,14,0,0,3,Home,2,0.3333333333333333,1.5
2009-05-24,2009,Man City,Bolton,1,0,20,12,15,8,0,0,3,Home,1,0.08333333333333333,1.4
2009-05-24,2009,Sunderland,Chelsea,2,3,8,7,6,8,1,0,0,Home,-1,0.2857142857142857,2.75
2009-05-24,2009,West Ham,Middlesbrough,2,1,14,8,4,14,0,0,3,Home,1,0.25,1.7142857142857142
2009-05-24,2009,Wigan,Portsmouth,1,0,19,10,8,8,0,0,3,Home,1,0.1,1.263157894736842
2009-08-15,2009,Aston Villa,Wigan,0,2,11,5,4,15,2,0,0,Home,-2,0.0,0.9090909090909091
2009-08-15,2009,Blackburn,Man City,0,2,17,9,5,12,2,0,0,Home,-2,0.0,1.0588235294117647
2009-08-15,2009,Bolton,Sunderland,0,1,11,3,4,16,2,0,0,Home,-1,0.0,0.5454545454545454
2009-08-15,2009,Chelsea,Hull,2,1,26,12,12,13,1,0,3,Home,1,0.16666666666666666,1.2307692307692308
2009-08-15,2009,Everton,Arsenal,1,6,8,5,4,11,0,0,0,Home,-5,0.2,1.75
2009-08-15,2009,Portsmouth,Fulham,0,1,16,4,6,11,3,0,0,Home,-1,0.0,0.5
2009-08-15,2009,Stoke,Burnley,2,0,12,5,3,15,2,0,3,Home,2,0.4,1.5
2009-08-15,2009,Wolves,West Ham,0,2,19,11,8,9,0,0,0,Home,-2,0.0,1.1578947368421053
2009-08-16,2009,Man United,Birmingham,1,0,26,17,13,13,1,0,3,Home,1,0.058823529411764705,1.4615384615384615
2009-08-16,2009,Tottenham,Liverpool,2,1,17,11,6,14,3,0,3,Home,1,0.18181818181818182,1.7647058823529411
2009-08-18,2009,Sunderland,Chelsea,1,3,4,3,1,14,2,0,0,Home,-2,0.3333333333333333,2.5
2009-08-18,2009,Wigan,Wolves,0,1,18,5,4,8,0,0,0,Home,-1,0.0,0.5555555555555556
2009-08-19,2009,Birmingham,Portsmouth,1,0,9,5,4,11,0,0,3,Home,1,0.2,1.5555555555555556
2009-08-19,2009,Burnley,Man United,1,0,8,2,1,8,2,0,3,Home,1,0.5,1.0
2009-08-19,2009,Hull,Tottenham,1,5,9,7,6,23,3,0,0,Home,-4,0.14285714285714285,2.0
2009-08-19,2009,Liverpool,Stoke,4,0,18,13,11,10,0,0,3,Home,4,0.3076923076923077,2.3333333333333335
2009-08-22,2009,Arsenal,Portsmouth,4,1,19,16,8,9,1,0,3,Home,3,0.25,2.526315789473684
2009-08-22,2009,Birmingham,Stoke,0,0,8,6,3,8,0,0,1,Home,0,0.0,1.5
2009-08-22,2009,Hull,Bolton,1,0,12,5,4,19,3,0,3,Home,1,0.2,1.1666666666666667
2009-08-22,2009,Man City,Wolves,1,0,16,11,5,7,0,0,3,Home,1,0.09090909090909091,1.625
2009-08-22,2009,Sunderland,Blackburn,2,1,8,5,0,12,2,0,3,Home,1,0.4,2.25
2009-08-22,2009,Wigan,Man United,0,5,16,7,3,11,2,0,0,Home,-5,0.0,0.875
2009-08-23,2009,Burnley,Everton,1,0,8,4,3,11,1,0,3,Home,1,0.25,1.5
2009-08-23,2009,Fulham,Chelsea,0,2,4,1,4,11,0,0,0,Home,-2,0.0,0.5
2009-08-23,2009,West Ham,Tottenham,1,2,17,8,4,13,2,0,0,Home,-1,0.125,1.1764705882352942
2009-08-24,2009,Liverpool,Aston Villa,1,3,21,12,10,15,3,0,0,Home,-2,0.08333333333333333,1.3333333333333333
2009-08-29,2009,Blackburn,West Ham,0,0,19,9,5,13,1,0,1,Home,0,0.0,0.9473684210526315
2009-08-29,2009,Bolton,Liverpool,2,3,8,5,5,14,3,1,0,Home,-1,0.4,2.25
2009-08-29,2009,Chelsea,Burnley,3,0,27,17,10,7,0,0,3,Home,3,0.17647058823529413,1.7037037037037037
2009-08-29,2009,Man United,Arsenal,2,1,10,4,6,21,3,0,3,Home,1,0.5,1.6
2009-08-29,2009,Stoke,Sunderland,1,0,13,7,10,9,0,0,3,Home,1,0.14285714285714285,1.3846153846153846
2009-08-29,2009,Tottenham,Birmingham,2,1,20,14,7,12,2,0,3,Home,1,0.14285714285714285,1.8
2009-08-29,2009,Wolves,Hull,1,1,24,17,8,11,0,0,1,Home,0,0.058823529411764705,1.5833333333333333
2009-08-30,2009,Aston Villa,Fulham,2,0,9,4,9,9,1,0,3,Home,2,0.5,1.7777777777777777
2009-08-30,2009,Everton,Wigan,2,1,26,14,12,11,1,0,3,Home,1,0.14285714285714285,1.3846153846153846
2009-08-30,2009,Portsmouth,Man City,0,1,11,6,3,12,2,0,0,Home,-1,0.0,1.0909090909090908
2009-09-12,2009,Blackburn,Wolves,3,1,13,10,10,13,1,0,3,Home,2,0.3,2.4615384615384617
2009-09-12,2009,Liverpool,Burnley,4,0,27,16,7,8,0,0,3,Home,4,0.25,1.7777777777777777
2009-09-12,2009,Man City,Arsenal,4,2,10,6,3,13,3,0,3,Home,2,0.6666666666666666,2.8
2009-09-12,2009,Portsmouth,Bolton,2,3,21,11,7,17,2,0,0,Home,-1,0.18181818181818182,1.4285714285714286
2009-09-12,2009,Stoke,Chelsea,1,2,4,2,4,13,3,0,0,Home,-1,0.5,2.0
2009-09-12,2009,Sunderland,Hull,4,1,7,4,7,18,2,0,3,Home,3,1.0,3.4285714285714284
2009-09-12,2009,Tottenham,Man United,1,3,11,7,3,16,3,0,0,Home,-2,0.14285714285714285,1.6363636363636365
2009-09-12,2009,Wigan,West Ham,1,0,12,6,6,13,2,0,3,Home,1,0.16666666666666666,1.3333333333333333
2009-09-13,2009,Birmingham,Aston Villa,0,1,11,7,7,10,1,0,0,Home,-1,0.0,1.2727272727272727
2009-09-13,2009,Fulham,Everton,2,1,14,8,5,6,1,0,3,Home,1,0.25,1.7142857142857142
2009-09-19,2009,Arsenal,Wigan,4,0,23,11,6,6,2,0,3,Home,4,0.36363636363636365,1.6521739130434783
2009-09-19,2009,Aston Villa,Portsmouth,2,0,7,5,7,17,2,0,3,Home,2,0.4,2.5714285714285716
2009-09-19,2009,Bolton,Stoke,1,1,11,5,4,6,2,0,1,Home,0,0.2,1.2727272727272727
2009-09-19,2009,Burnley,Sunderland,3,1,10,3,4,4,0,0,3,Home,2,1.0,1.8
2009-09-19,2009,Hull,Birmingham,0,1,16,11,10,15,0,0,0,Home,-1,0.0,1.375
2009-09-19,2009,West Ham,Liverpool,2,3,8,5,4,13,3,0,0,Home,-1,0.4,2.25
2009-09-20,2009,Chelsea,Tottenham,3,0,25,15,11,7,0,0,3,Home,3,0.2,1.68
2009-09-20,2009,Everton,Blackburn,3,0,18,11,6,15,1,0,3,Home,3,0.2727272727272727,1.8888888888888888
2009-09-20,2009,Man United,Man City,4,3,21,11,11,15,2,0,3,Home,1,0.36363636363636365,1.8095238095238095
2009-09-20,2009,Wolves,Fulham,2,1,12,4,3,14,1,0,3,Home,1,0.5,1.3333333333333333
2009-09-26,2009,Birmingham,Bolton,1,2,12,6,8,9,2,0,0,Home,-1,0.16666666666666666,1.3333333333333333
2009-09-26,2009,Blackburn,Aston Villa,2,1,15,7,6,14,2,1,3,Home,1,0.2857142857142857,1.4666666666666666
2009-09-26,2009,Fulham,Arsenal,0,1,18,12,4,14,4,0,0,Home,-1,0.0,1.3333333333333333
2009-09-26,2009,Liverpool,Hull,6,1,22,14,13,10,1,0,3,Home,5,0.42857142857142855,2.3636363636363638
2009-09-26,2009,Portsmouth,Everton,0,1,16,12,5,14,0,0,0,Home,-1,0.0,1.5
2009-09-26,2009,Stoke,Man United,0,2,2,1,2,9,1,0,0,Home,-2,0.0,1.0
2009-09-26,2009,Tottenham,Burnley,5,0,18,12,2,10,1,0,3,Home,5,0.4166666666666667,2.4444444444444446
2009-09-26,2009,Wigan,Chelsea,3,1,15,9,4,11,1,0,3,Home,2,0.3333333333333333,2.0
2009-09-27,2009,Sunderland,Wolves,5,2,10,8,7,18,1,0,3,Home,3,0.625,3.6
2009-09-28,2009,Man City,West Ham,3,1,20,12,11,18,1,0,3,Home,2,0.25,1.8
2009-10-03,2009,Bolton,Tottenham,2,2,12,9,5,15,2,0,1,Home,0,0.2222222222222222,2.1666666666666665
2009-10-03,2009,Burnley,Birmingham,2,1,15,13,8,17,0,0,3,Home,1,0.15384615384615385,2.2666666666666666
2009-10-03,2009,Hull,Wigan,2,1,11,6,4,14,0,0,3,Home,1,0.3333333333333333,1.8181818181818181
2009-10-03,2009,Man United,Sunderland,2,2,17,9,14,11,2,0,1,Home,0,0.2222222222222222,1.5294117647058822
2009-10-03,2009,Wolves,Portsmouth,0,1,11,5,8,8,1,0,0,Home,-1,0.0,0.9090909090909091
2009-10-04,2009,Arsenal,Blackburn,6,2,24,18,8,9,1,0,3,Home,4,0.3333333333333333,2.5
2009-10-04,2009,Chelsea,Liverpool,2,0,12,8,5,14,1,0,3,Home,2,0.25,2.0
2009-10-04,2009,Everton,Stoke,1,1,24,17,11,5,1,0,1,Home,0,0.058823529411764705,1.5833333333333333
2009-10-04,2009,West Ham,Fulham,2,2,20,10,8,12,3,0,1,Home,0,0.2,1.4
2009-10-05,2009,Aston Villa,Man City,1,1,12,6,6,10,1,0,1,Home,0,0.16666666666666666,1.3333333333333333
2009-10-17,2009,Arsenal,Birmingham,3,1,20,12,7,8,1,0,3,Home,2,0.25,1.8
2009-10-17,2009,Aston Villa,Chelsea,2,1,7,5,6,19,2,0,3,Home,1,0.4,2.5714285714285716
2009-10-17,2009,Everton,Wolves,1,1,13,5,6,6,1,0,1,Home,0,0.2,1.0769230769230769
2009-10-17,2009,Man United,Bolton,2,1,13,7,13,15,0,0,3,Home,1,0.2857142857142857,1.6923076923076923
2009-10-17,2009,Portsmouth,Tottenham,1,2,23,13,10,14,3,1,0,Home,-1,0.07692307692307693,1.3043478260869565
2009-10-17,2009,Stoke,West Ham,2,1,11,4,5,16,3,0,3,Home,1,0.5,1.4545454545454546
2009-10-17,2009,Sunderland,Liverpool,1,0,13,7,1,20,2,0,3,Home,1,0.14285714285714285,1.3846153846153846
2009-10-18,2009,Blackburn,Burnley,3,2,12,6,3,18,3,0,3,Home,1,0.5,2.0
2009-10-18,2009,Wigan,Man City,1,1,13,7,6,15,2,0,1,Home,0,0.14285714285714285,1.3846153846153846
2009-10-19,2009,Fulham,Hull,2,0,17,11,7,13,1,0,3,Home,2,0.18181818181818182,1.7647058823529411
2009-10-24,2009,Birmingham,Sunderland,2,1,19,13,6,9,3,0,3,Home,1,0.15384615384615385,1.7894736842105263
2009-10-24,2009,Burnley,Wigan,1,3,12,9,7,12,2,0,0,Home,-2,0.1111111111111111,1.8333333333333333
2009-10-24,2009,Chelsea,Blackburn,5,0,26,15,8,8,0,0,3,Home,5,0.3333333333333333,1.9230769230769231
2009-10-24,2009,Hull,Portsmouth,0,0,7,3,6,16,2,0,1,Home,0,0.0,0.8571428571428571
2009-10-24,2009,Tottenham,Stoke,0,1,22,12,7,8,0,0,0,Home,-1,0.0,1.0909090909090908
2009-10-24,2009,Wolves,Aston Villa,1,1,8,4,8,10,1,0,1,Home,0,0.25,1.5
2009-10-25,2009,Bolton,Everton,3,2,12,8,4,14,3,0,3,Home,1,0.375,2.3333333333333335
2009-10-25,2009,Liverpool,Man United,2,0,11,6,5,20,2,1,3,Home,2,0.3333333333333333,1.8181818181818181
2009-10-25,2009,Man City,Fulham,2,2,20,7,14,11,0,0,1,Home,0,0.2857142857142857,1.1
2009-10-25,2009,West Ham,Arsenal,2,2,15,9,6,17,3,1,1,Home,0,0.2222222222222222,1.7333333333333334
2009-10-31,2009,Arsenal,Tottenham,3,0,18,12,6,10,1,0,3,Home,3,0.25,2.0
2009-10-31,2009,Bolton,Chelsea,0,4,15,6,8,9,1,1,0,Home,-4,0.0,0.8
2009-10-31,2009,Burnley,Hull,2,0,11,5,8,12,1,0,3,Home,2,0.4,1.6363636363636365
2009-10-31,2009,Everton,Aston Villa,1,1,9,4,3,15,1,1,1,Home,0,0.25,1.3333333333333333
2009-10-31,2009,Fulham,Liverpool,3,1,10,6,2,10,1,0,3,Home,2,0.5,2.4
2009-10-31,2009,Man United,Blackburn,2,0,20,11,7,10,0,0,3,Home,2,0.18181818181818182,1.5
2009-10-31,2009,Portsmouth,Wigan,4,0,21,11,7,11,0,0,3,Home,4,0.36363636363636365,1.8095238095238095
2009-10-31,2009,Stoke,Wolves,2,2,10,5,4,13,0,0,1,Home,0,0.4,1.8
2009-10-31,2009,Sunderland,West Ham,2,2,17,7,7,12,3,1,1,Home,0,0.2857142857142857,1.2941176470588236
2009-11-01,2009,Birmingham,Man City,0,0,7,4,4,9,3,1,1,Home,0,0.0,1.1428571428571428
2009-11-04,2009,West Ham,Aston Villa,2,1,14,7,6,11,2,0,3,Home,1,0.2857142857142857,1.5714285714285714
2009-11-07,2009,Aston Villa,Bolton,5,1,19,13,8,17,1,0,3,Home,4,0.38461538461538464,2.4210526315789473
2009-11-07,2009,Blackburn,Portsmouth,3,1,10,6,8,12,3,0,3,Home,2,0.5,2.4
2009-11-07,2009,Man City,Burnley,3,3,13,8,8,10,1,0,1,Home,0,0.375,2.1538461538461537
2009-11-07,2009,Tottenham,Sunderland,2,0,10,8,4,10,1,0,3,Home,2,0.25,2.4
2009-11-07,2009,Wolves,Arsenal,1,4,8,6,4,9,2,0,0,Home,-3,0.16666666666666666,2.0
2009-11-08,2009,Chelsea,Man United,1,0,12,9,0,13,3,0,3,Home,1,0.1111111111111111,1.8333333333333333
2009-11-08,2009,Hull,Stoke,2,1,16,8,4,12,1,0,3,Home,1,0.25,1.5
2009-11-08,2009,West Ham,Everton,1,2,16,7,5,12,0,0,0,Home,-1,0.14285714285714285,1.125
2009-11-08,2009,Wigan,Fulham,1,1,19,12,10,15,2,0,1,Home,0,0.08333333333333333,1.4736842105263157
2009-11-09,2009,Liverpool,Birmingham,2,2,27,14,11,7,1,0,1,Home,0,0.14285714285714285,1.3333333333333333
2009-11-21,2009,Birmingham,Fulham,1,0,3,2,0,7,1,0,3,Home,1,0.5,2.6666666666666665
2009-11-21,2009,Burnley,Aston Villa,1,1,11,6,6,6,0,0,1,Home,0,0.16666666666666666,1.4545454545454546
2009-11-21,2009,Chelsea,Wolves,4,0,23,14,5,4,0,0,3,Home,4,0.2857142857142857,1.9130434782608696
2009-11-21,2009,Hull,West Ham,3,3,12,8,5,9,0,1,1,Home,0,0.375,2.3333333333333335
2009-11-21,2009,Liverpool,Man City,2,2,10,6,7,9,2,0,1,Home,0,0.3333333333333333,2.0
2009-11-21,2009,Man United,Everton,3,0,18,11,13,4,2,0,3,Home,3,0.2727272727272727,1.8888888888888888
2009-11-21,2009,Sunderland,Arsenal,1,0,5,1,2,10,2,0,3,Home,1,1.0,1.2
2009-11-22,2009,Bolton,Blackburn,0,2,15,8,7,13,3,0,0,Home,-2,0.0,1.0666666666666667
2009-11-22,2009,Stoke,Portsmouth,1,0,9,3,4,15,1,0,3,Home,1,0.3333333333333333,1.1111111111111112
2009-11-22,2009,Tottenham,Wigan,9,1,28,16,10,9,1,0,3,Home,8,0.5625,2.4285714285714284
2009-11-25,2009,Fulham,Blackburn,3,0,8,4,3,7,0,0,3,Home,3,0.75,2.5
2009-11-25,2009,Hull,Everton,3,2,8,7,3,18,1,0,3,Home,1,0.42857142857142855,3.25
2009-11-28,2009,Aston Villa,Tottenham,1,1,12,4,7,10,0,0,1,Home,0,0.25,1.0
2009-11-28,2009,Blackburn,Stoke,0,0,11,4,9,12,1,0,1,Home,0,0.0,0.7272727272727273
2009-11-28,2009,Fulham,Bolton,1,1,12,7,8,7,1,0,1,Home,0,0.14285714285714285,1.5
2009-11-28,2009,Man City,Hull,1,1,17,7,8,14,1,0,1,Home,0,0.14285714285714285,1.0588235294117647
2009-11-28,2009,Portsmouth,Man United,1,4,20,12,4,16,4,0,0,Home,-3,0.08333333333333333,1.4
2009-11-28,2009,West Ham,Burnley,5,3,9,5,1,10,2,0,3,Home,2,1.0,3.3333333333333335
2009-11-28,2009,Wigan,Sunderland,1,0,16,10,5,12,0,0,3,Home,1,0.1,1.5
2009-11-29,2009,Arsenal,Chelsea,0,3,5,3,4,17,2,0,0,Home,-3,0.0,1.2
2009-11-29,2009,Everton,Liverpool,0,2,12,8,6,15,1,0,0,Home,-2,0.0,1.3333333333333333
2009-11-29,2009,Wolves,Birmingham,0,1,8,2,6,14,2,0,0,Home,-1,0.0,0.5
2009-12-05,2009,Arsenal,Stoke,2,0,12,8,10,3,0,0,3,Home,2,0.25,2.0
2009-12-05,2009,Aston Villa,Hull,3,0,13,6,9,15,4,0,3,Home,3,0.5,1.8461538461538463
2009-12-05,2009,Blackburn,Liverpool,0,0,9,3,1,15,1,0,1,Home,0,0.0,0.6666666666666666
2009-12-05,2009,Man City,Chelsea,2,1,13,8,9,12,1,0,3,Home,1,0.25,1.8461538461538463
2009-12-05,2009,Portsmouth,Burnley,2,0,9,4,5,16,4,0,3,Home,2,0.5,1.7777777777777777
2009-12-05,2009,West Ham,Man United,0,4,11,7,2,8,0,0,0,Home,-4,0.0,1.2727272727272727
2009-12-05,2009,Wigan,Birmingham,2,3,18,7,2,14,2,0,0,Home,-1,0.2857142857142857,1.2222222222222223
2009-12-05,2009,Wolves,Bolton,2,1,12,11,11,9,2,0,3,Home,1,0.18181818181818182,2.5
2009-12-06,2009,Everton,Tottenham,2,2,15,6,1,11,4,0,1,Home,0,0.3333333333333333,1.3333333333333333
2009-12-06,2009,Fulham,Sunderland,1,0,16,5,4,9,1,0,3,Home,1,0.2,0.875
2009-12-12,2009,Birmingham,West Ham,1,0,16,9,11,12,3,0,3,Home,1,0.1111111111111111,1.375
2009-12-12,2009,Bolton,Man City,3,3,12,8,5,11,3,0,1,Home,0,0.375,2.3333333333333335
2009-12-12,2009,Burnley,Fulham,1,1,10,8,7,12,0,0,1,Home,0,0.125,2.0
2009-12-12,2009,Chelsea,Everton,3,3,25,13,7,13,0,0,1,Home,0,0.23076923076923078,1.52
2009-12-12,2009,Hull,Blackburn,0,0,9,7,3,14,1,0,1,Home,0,0.0,1.5555555555555556
2009-12-12,2009,Man United,Aston Villa,0,1,16,9,9,4,1,0,0,Home,-1,0.0,1.125
2009-12-12,2009,Stoke,Wigan,2,2,14,5,5,19,5,0,1,Home,0,0.4,1.2857142857142858
2009-12-12,2009,Sunderland,Portsmouth,1,1,16,9,9,12,4,0,1,Home,0,0.1111111111111111,1.375
2009-12-12,2009,Tottenham,Wolves,0,1,18,10,1,8,0,0,0,Home,-1,0.0,1.1111111111111112
2009-12-13,2009,Liverpool,Arsenal,1,2,6,3,3,19,3,0,0,Home,-1,0.3333333333333333,1.6666666666666667
2009-12-15,2009,Birmingham,Blackburn,2,1,13,6,6,8,2,0,3,Home,1,0.3333333333333333,1.5384615384615385
2009-12-15,2009,Bolton,West Ham,3,1,23,12,8,10,4,0,3,Home,2,0.25,1.565217391304348
2009-12-15,2009,Man United,Wolves,3,0,12,9,8,11,1,0,3,Home,3,0.3333333333333333,2.5
2009-12-15,2009,Sunderland,Aston Villa,0,2,15,5,7,16,2,1,0,Home,-2,0.0,0.6666666666666666
2009-12-16,2009,Burnley,Arsenal,1,1,8,3,3,11,2,0,1,Home,0,0.3333333333333333,1.25
2009-12-16,2009,Chelsea,Portsmouth,2,1,21,8,11,11,0,0,3,Home,1,0.25,1.1428571428571428
2009-12-16,2009,Liverpool,Wigan,2,1,12,7,13,12,1,0,3,Home,1,0.2857142857142857,1.8333333333333333
2009-12-16,2009,Tottenham,Man City,3,0,19,7,5,10,2,0,3,Home,3,0.42857142857142855,1.368421052631579
2009-12-19,2009,Arsenal,Hull,3,0,18,9,8,9,1,0,3,Home,3,0.3333333333333333,1.6666666666666667
2009-12-19,2009,Aston Villa,Stoke,1,0,17,8,3,9,0,0,3,Home,1,0.125,1.1764705882352942
2009-12-19,2009,Blackburn,Tottenham,0,2,13,9,5,7,0,0,0,Home,-2,0.0,1.3846153846153846
2009-12-19,2009,Fulham,Man United,3,0,10,7,5,10,0,0,3,Home,3,0.42857142857142855,2.6
2009-12-19,2009,Man City,Sunderland,4,3,11,5,6,13,2,0,3,Home,1,0.8,2.3636363636363638
2009-12-19,2009,Portsmouth,Liverpool,2,0,14,6,8,7,3,0,3,Home,2,0.3333333333333333,1.4285714285714286
2009-12-20,2009,Everton,Birmingham,1,1,19,7,6,8,0,0,1,Home,0,0.14285714285714285,0.9473684210526315
2009-12-20,2009,West Ham,Chelsea,1,1,6,5,5,17,4,0,1,Home,0,0.2,2.3333333333333335
2009-12-20,2009,Wolves,Burnley,2,0,12,12,5,17,2,0,3,Home,2,0.16666666666666666,2.6666666666666665
2009-12-26,2009,Birmingham,Chelsea,0,0,11,4,7,6,1,0,1,Home,0,0.0,0.7272727272727273
2009-12-26,2009,Burnley,Bolton,1,1,15,7,8,11,0,0,1,Home,0,0.14285714285714285,1.2
2009-12-26,2009,Fulham,Tottenham,0,0,15,6,4,19,1,0,1,Home,0,0.0,0.8
2009-12-26,2009,Liverpool,Wolves,2,0,14,10,7,9,0,0,3,Home,2,0.2,2.0
2009-12-26,2009,Man City,Stoke,2,0,12,6,7,13,0,0,3,Home,2,0.3333333333333333,1.6666666666666667
2009-12-26,2009,Sunderland,Everton,1,1,10,6,4,17,1,0,1,Home,0,0.16666666666666666,1.6
2009-12-26,2009,West Ham,Portsmouth,2,0,13,5,6,10,0,0,3,Home,2,0.4,1.3846153846153846
2009-12-26,2009,Wigan,Blackburn,1,1,14,8,6,10,1,0,1,Home,0,0.125,1.4285714285714286
2009-12-27,2009,Arsenal,Aston Villa,3,0,19,12,10,14,1,0,3,Home,3,0.25,1.894736842105263
2009-12-27,2009,Hull,Man United,1,3,12,6,5,13,0,0,0,Home,-2,0.16666666666666666,1.3333333333333333
2009-12-28,2009,Blackburn,Sunderland,2,2,21,11,4,6,1,0,1,Home,0,0.18181818181818182,1.4285714285714286
2009-12-28,2009,Chelsea,Fulham,2,1,18,11,10,9,1,0,3,Home,1,0.18181818181818182,1.6666666666666667
2009-12-28,2009,Everton,Burnley,2,0,24,16,10,7,1,0,3,Home,2,0.125,1.6666666666666667
2009-12-28,2009,Stoke,Birmingham,0,1,12,6,10,15,2,0,0,Home,-1,0.0,1.0
2009-12-28,2009,Tottenham,West Ham,2,0,21,9,9,9,2,0,3,Home,2,0.2222222222222222,1.2380952380952381
2009-12-28,2009,Wolves,Man City,0,3,11,6,8,16,3,0,0,Home,-3,0.0,1.0909090909090908
2009-12-29,2009,Aston Villa,Liverpool,0,1,11,7,8,13,1,0,0,Home,-1,0.0,1.2727272727272727
2009-12-29,2009,Bolton,Hull,2,2,16,6,8,14,1,0,1,Home,0,0.3333333333333333,1.25
2009-12-30,2009,Man United,Wigan,5,0,23,16,7,6,0,0,3,Home,5,0.3125,2.260869565217391
2009-12-30,2009,Portsmouth,Arsenal,1,4,10,6,2,14,2,0,0,Home,-3,0.16666666666666666,1.6
2010-01-05,2010,Stoke,Fulham,3,2,11,9,8,13,1,0,3,Home,1,0.3333333333333333,2.727272727272727
2010-01-09,2010,Arsenal,Everton,2,2,6,5,6,10,1,0,1,Home,0,0.4,3.0
2010-01-09,2010,Birmingham,Man United,1,1,6,5,2,10,2,0,1,Home,0,0.2,2.3333333333333335
2010-01-11,2010,Man City,Blackburn,4,1,12,6,4,6,1,0,3,Home,3,0.6666666666666666,2.3333333333333335
2010-01-16,2010,Chelsea,Sunderland,7,2,23,13,15,4,0,0,3,Home,5,0.5384615384615384,2.347826086956522
2010-01-16,2010,Everton,Man City,2,0,13,6,11,14,0,0,3,Home,2,0.3333333333333333,1.5384615384615385
2010-01-16,2010,Man United,Burnley,3,0,24,11,7,12,0,0,3,Home,3,0.2727272727272727,1.4166666666666667
2010-01-16,2010,Stoke,Liverpool,1,1,6,5,10,14,1,0,1,Home,0,0.2,2.3333333333333335
2010-01-16,2010,Tottenham,Hull,0,0,25,18,14,14,4,0,1,Home,0,0.0,1.44
2010-01-16,2010,Wolves,Wigan,0,2,9,4,4,14,4,1,0,Home,-2,0.0,0.8888888888888888
2010-01-17,2010,Aston Villa,West Ham,0,0,17,10,16,7,1,0,1,Home,0,0.0,1.1764705882352942
2010-01-17,2010,Blackburn,Fulham,2,0,11,7,3,14,1,0,3,Home,2,0.2857142857142857,2.0
2010-01-17,2010,Bolton,Arsenal,0,2,12,6,2,13,1,0,0,Home,-2,0.0,1.0
2010-01-20,2010,Arsenal,Bolton,4,2,20,14,9,16,1,0,3,Home,2,0.2857142857142857,2.2
2010-01-20,2010,Liverpool,Tottenham,2,0,13,5,2,11,2,0,3,Home,2,0.4,1.3846153846153846
2010-01-23,2010,Man United,Hull,4,0,25,15,12,6,1,0,3,Home,4,0.26666666666666666,1.84
2010-01-26,2010,Bolton,Burnley,1,0,14,6,4,12,3,0,3,Home,1,0.16666666666666666,1.1428571428571428
2010-01-26,2010,Portsmouth,West Ham,1,1,14,8,6,16,3,0,1,Home,0,0.125,1.4285714285714286
2010-01-26,2010,Tottenham,Fulham,2,0,13,7,11,11,1,0,3,Home,2,0.2857142857142857,1.6923076923076923
2010-01-26,2010,Wolves,Liverpool,0,0,6,4,0,10,0,0,1,Home,0,0.0,1.3333333333333333
2010-01-27,2010,Aston Villa,Arsenal,0,0,8,2,7,16,2,0,1,Home,0,0.0,0.5
2010-01-27,2010,Blackburn,Wigan,2,1,13,7,5,20,3,0,3,Home,1,0.2857142857142857,1.6923076923076923
2010-01-27,2010,Chelsea,Birmingham,3,0,25,17,8,11,0,0,3,Home,3,0.17647058823529413,1.84
2010-01-27,2010,Everton,Sunderland,2,0,11,7,3,10,0,0,3,Home,2,0.2857142857142857,2.0
2010-01-30,2010,Birmingham,Tottenham,1,1,12,6,5,12,4,0,1,Home,0,0.16666666666666666,1.3333333333333333
2010-01-30,2010,Burnley,Chelsea,1,2,5,3,2,12,1,0,0,Home,-1,0.3333333333333333,2.0
2010-01-30,2010,Fulham,Aston Villa,0,2,15,8,9,10,0,0,0,Home,-2,0.0,1.0666666666666667
2010-01-30,2010,Hull,Wolves,2,2,8,4,4,15,2,0,1,Home,0,0.5,2.0
2010-01-30,2010,Liverpool,Bolton,2,0,13,6,11,12,1,0,3,Home,2,0.3333333333333333,1.5384615384615385
2010-01-30,2010,West Ham,Blackburn,0,0,7,6,10,17,0,0,1,Home,0,0.0,1.7142857142857142
